algorithm,twenty,fourty,sixty,eighty,hundred,time
gb32_hybrid,23,21,10,26,20,0.00043544999999312495
custom,18,19,24,19,20,0.0010064300000044567
graham,17,18,23,17,25,0.0012288999999964289
djb2,17,18,17,25,23,0.0014631299999905423
fnv1a,18,23,18,14,27,0.0017857600000024832
md5WithRSAEncryption,21,25,22,16,16,0.0018160799999805022
ssl3-sha1,15,18,26,25,16,0.0018325899999899775
sha1WithRSAEncryption,14,18,32,19,17,0.001858420000003207
sha1,21,24,13,26,16,0.0018973100000130216
md5,13,24,18,13,32,0.0019050799999968148
ripemd160,19,23,17,16,25,0.0019051100000024234
ripemd,22,23,17,16,22,0.0019401600000264808
ripemd160WithRSA,18,22,27,16,17,0.0019416000000273925
rmd160,16,21,14,23,26,0.001943229999956202
sm3WithRSAEncryption,23,22,16,20,19,0.002013410000017757
sha224WithRSAEncryption,20,19,20,23,18,0.0020498499999985144
sha224,24,17,17,27,15,0.00205277999997179
sha256WithRSAEncryption,19,16,22,17,26,0.002055890000069667
sha256,23,18,20,24,15,0.0020947500000102082
sha512-224,19,20,19,22,20,0.0021377799999891065
sha512-224WithRSAEncryption,19,17,24,18,22,0.002196430000003602
ssl3-md5,26,11,24,22,17,0.0022305399999822837
md5-sha1,30,12,20,19,19,0.0022345600000062403
sha3-224,22,15,19,23,21,0.002362310000016805
sha384WithRSAEncryption,21,18,17,22,22,0.0023888099999976476
sha384,18,22,25,17,18,0.002459199999984776
sha512,14,24,16,28,18,0.0024627999999756868
sm3,14,17,25,22,22,0.002546929999994063
shake256,15,21,23,22,19,0.002640349999974205
sha512-256WithRSAEncryption,19,23,20,20,18,0.002676620000006551
sha3-512,14,13,28,26,19,0.002705869999999777
id-rsassa-pkcs1-v1_5-with-sha3-512,16,19,26,19,20,0.0027144700000098967
sha3-384,20,10,23,21,26,0.0027186200000005557
id-rsassa-pkcs1-v1_5-with-sha3-384,23,17,17,17,26,0.0028973899999755305
sha512-256,23,19,18,22,18,0.0029570500000045286
shake128,21,15,15,20,29,0.0031818899999962015
gb64,25,24,17,21,13,0.003341340000006312
RSA-SHA1-2,12,19,17,22,30,0.0034211000000073
gb32,19,18,25,19,19,0.0034441599999991013
RSA-SHA1,17,26,18,17,22,0.0034803500000020905
RSA-SHA224,25,21,21,14,19,0.0035819099999912394
blake2s256,23,21,19,15,22,0.0037514800000008107
RSA-SHA512/256,19,19,24,21,17,0.004022189999980128
RSA-SHA256,23,20,19,24,14,0.00412539000000379
RSA-SHA384,14,22,21,19,24,0.004201810000015484
RSA-SHA3-224,18,31,22,13,16,0.004204320000005737
RSA-SHA512/224,22,17,24,18,19,0.004276509999999689
RSA-RIPEMD160,24,15,15,20,26,0.004298240000002807
RSA-SHA512,24,20,19,21,16,0.004317580000006273
RSA-MD5,17,17,17,29,20,0.00454168999998501
RSA-SHA3-512,15,19,21,24,21,0.004665670000008504
RSA-SHA3-384,18,24,12,20,26,0.004810629999988123
RSA-SM3,10,30,16,22,22,0.005007350000007591
blake2b512,19,19,27,16,19,0.006023310000009587
id-rsassa-pkcs1-v1_5-with-sha3-256,24,16,25,19,16,0.006328730000004726
sha3-256,22,21,18,19,20,0.008498750000017026
sha512WithRSAEncryption,20,20,19,23,18,0.009193580000010115
RSA-SHA3-256,19,28,15,19,19,0.011759230000004664
id-rsassa-pkcs1-v1_5-with-sha3-224,20,17,19,20,24,0.09111337000000957
gb32_old,26,21,23,8,22,0.14341825000000882
