algorithm,twenty,fourty,sixty,eighty,hundred,time
md5WithRSAEncryption,1958,2024,2009,1958,2051,0.001456483699990713
md5,2022,2027,2014,1968,1969,0.0014865884000026198
RSA-SHA1-2,2022,1933,2033,2037,1975,0.0015090100000164967
ssl3-md5,2040,1949,2050,1989,1972,0.001516405200000918
ssl3-sha1,1995,1993,2004,2018,1990,0.0015223296999918603
ripemd,1979,2059,2006,2014,1942,0.0015470492999929775
ripemd160,2019,1979,1952,2051,1999,0.0015594323000063014
ripemd160WithRSA,1989,2029,1974,1999,2009,0.001563262299987764
sha1WithRSAEncryption,2018,1981,1879,2085,2037,0.0015736564999970142
sha1,2001,1954,2007,2010,2028,0.001632534999995005
RSA-SHA224,1985,2001,2007,1979,2028,0.001648579700000846
sha224,2083,1960,2042,1936,1979,0.0016621890999864264
sha224WithRSAEncryption,2034,2023,1936,1998,2009,0.001685262500004319
sha256,1974,2043,2037,2037,1909,0.0016876586000062162
sha256WithRSAEncryption,1930,2072,1976,2019,2003,0.001697150999986843
sha512-224,2094,1985,1994,1916,2011,0.0017156550999994579
sha512-224WithRSAEncryption,2033,2013,1935,2014,2005,0.001768845399991551
sha512-256WithRSAEncryption,2033,2006,1983,1990,1988,0.001783539799992468
blake2s256,1915,2041,2051,1979,2014,0.0018000544000004084
RSA-SM3,2044,1953,2032,1926,2045,0.0018315377000099034
sha384WithRSAEncryption,1993,2097,1941,1936,2033,0.001917587599997205
sha384,1943,2050,1969,2021,2017,0.0019279484999871785
RSA-SHA384,1964,1930,2027,2024,2055,0.001942085699994459
RSA-MD5,2006,1990,1997,1962,2045,0.0019565124999977343
RSA-SHA3-224,1991,1929,2052,1920,2108,0.0019572110000126487
shake128,1976,2005,1955,2045,2019,0.001959264100010478
sha3-224,2005,1941,1984,1995,2075,0.0019748592000056304
RSA-SHA3-256,2002,2011,2007,1990,1990,0.0019857333999996627
shake256,2090,1938,1992,1988,1992,0.002005867400009447
sha3-384,1984,1994,2029,1974,2019,0.0021360314999954427
id-rsassa-pkcs1-v1_5-with-sha3-384,1975,2021,2028,1953,2023,0.002179508799981522
RSA-SHA3-512,2008,1996,2045,1978,1973,0.0022706690000097295
RSA-SHA1,2042,1958,2002,2084,1914,0.0023504641000094127
rmd160,1998,1936,2028,2069,1969,0.002404078699983984
RSA-SHA512/224,1990,1991,1989,2004,2026,0.0024354795999997803
RSA-RIPEMD160,2016,2006,2005,2025,1948,0.0024466106000138096
RSA-SHA256,1959,2085,1911,1990,2055,0.0025241335000073376
sm3,2036,2060,1964,1967,1973,0.0025694968000116204
sha512-256,1952,2089,2022,1972,1965,0.002619349500016324
md5-sha1,2080,1981,1951,1944,2044,0.0026908280000001467
sha512WithRSAEncryption,2035,1914,2085,1965,2001,0.002695686200003911
sm3WithRSAEncryption,2023,1969,1953,2001,2054,0.0027264859000148134
RSA-SHA512,1996,1991,2026,2034,1953,0.002730975599993326
RSA-SHA512/256,1996,1947,2008,1979,2070,0.002735403200001565
sha3-256,2036,1959,2049,1984,1972,0.003022869599992555
id-rsassa-pkcs1-v1_5-with-sha3-256,2033,2011,1965,1944,2047,0.00302399360000054
id-rsassa-pkcs1-v1_5-with-sha3-512,2009,1913,2043,2055,1980,0.003152297599991107
sha3-512,2092,2004,1955,1984,1965,0.0031761684999946737
blake2b512,2041,2036,1925,1973,2025,0.003198753700000452
id-rsassa-pkcs1-v1_5-with-sha3-224,2000,1956,2008,2019,2017,0.0032921885000057956
sha512,1979,2014,2034,1936,2037,0.003349873299999126
RSA-SHA3-384,1924,2033,2057,1987,1999,0.003944271899991873
