algorithm,twenty,fourty,sixty,eighty,hundred,time
md5WithRSAEncryption,18,25,18,20,19,0.0015923100000190971
md5,21,15,18,20,26,0.00162194000000909
ssl3-md5,24,20,13,26,17,0.0016437900000300942
ssl3-sha1,15,27,14,16,28,0.0016519500000049447
sha1WithRSAEncryption,15,17,29,23,16,0.0016999600000099236
RSA-SHA1-2,10,27,19,23,21,0.001729499999987638
ripemd160WithRSA,16,22,23,20,19,0.0017411700000184282
rmd160,21,25,14,17,23,0.0017497099999991405
RSA-RIPEMD160,22,17,19,19,23,0.0017630400000143709
RSA-SHA1,18,18,27,16,21,0.0018000400000028093
sha224WithRSAEncryption,20,23,20,19,18,0.0018092800000067656
sha512-224WithRSAEncryption,23,17,16,22,22,0.0018161800000143558
sha512-256WithRSAEncryption,18,19,13,25,25,0.0018279699999902731
sha512-256,23,12,22,20,23,0.0018385999999645719
sha1,15,17,20,20,28,0.001851579999979549
sha512-224,17,22,15,25,21,0.0018658000000232279
sha256WithRSAEncryption,23,21,19,18,19,0.0018707400000039342
RSA-SHA512/224,20,20,18,23,19,0.0018864699999949152
sha224,20,24,16,23,17,0.0018923000000086176
RSA-SHA512/256,18,26,21,18,17,0.0018984200000249985
sm3WithRSAEncryption,21,19,17,19,24,0.0019050899999774628
RSA-SHA256,21,19,17,24,19,0.0019101400000135981
shake128,23,13,24,25,15,0.0019113599999855068
RSA-SM3,25,20,19,16,20,0.0019127000000025874
RSA-MD5,26,23,26,8,17,0.001923600000013721
sha256,21,16,21,20,22,0.0019326600000113103
sm3,22,23,22,14,19,0.0019428699999798481
md5-sha1,22,24,19,19,16,0.0020229299999891736
sha384WithRSAEncryption,24,18,19,22,17,0.0020980699999745413
id-rsassa-pkcs1-v1_5-with-sha3-224,22,20,22,13,23,0.0021106300000155896
id-rsassa-pkcs1-v1_5-with-sha3-256,15,24,14,20,27,0.0021226800000113144
sha512WithRSAEncryption,19,25,18,15,23,0.0021262700000170298
RSA-SHA3-256,23,23,23,13,18,0.0021329400000013265
sha3-224,26,12,21,22,19,0.0021495200000072145
sha3-256,21,19,23,19,18,0.0021563499999729175
RSA-SHA384,24,16,25,19,16,0.002156649999997171
sha384,17,20,19,26,18,0.0021701199999824895
RSA-SHA3-224,21,21,19,20,19,0.002196959999992032
ripemd,21,18,18,24,19,0.0022089500000083717
RSA-SHA512,17,26,18,18,21,0.0022166400000060093
id-rsassa-pkcs1-v1_5-with-sha3-384,14,23,20,17,26,0.002257780000013554
RSA-SHA3-384,24,19,11,26,20,0.0022655199999826437
sha512,15,23,23,24,15,0.002326809999995021
blake2s256,20,17,22,17,24,0.0023708400000532494
id-rsassa-pkcs1-v1_5-with-sha3-512,18,23,17,21,21,0.0024460800000133532
RSA-SHA3-512,26,15,16,23,20,0.002446690000006129
sha3-512,23,15,23,24,15,0.002573569999972278
blake2b512,18,20,24,15,23,0.0027774600000111606
RSA-SHA224,15,26,26,19,14,0.00280600000000959
sha3-384,26,17,13,17,27,0.0034486699999706615
shake256,23,22,19,14,22,0.0036094600000069477
ripemd160,17,22,22,21,18,0.04901413999996748
