algorithm,twenty,fourty,sixty,eighty,hundred,time
RSA-SHA1-2,214,197,203,200,186,0.001444865000005393
sha1WithRSAEncryption,208,184,188,216,204,0.0014680389999962244
ssl3-md5,209,182,193,199,217,0.0014693230000016229
RSA-SHA1,182,204,213,187,214,0.0014844640000032997
md5,203,214,214,186,183,0.0015067600000120364
RSA-RIPEMD160,197,217,203,185,198,0.00151873100000239
md5WithRSAEncryption,195,207,180,216,202,0.0015377500000045075
ssl3-sha1,197,170,206,219,208,0.0015447230000063428
rmd160,208,194,189,191,218,0.0015610400000064147
RSA-MD5,195,216,178,202,209,0.0015896650000095179
sha1,199,201,199,196,205,0.0016274719999914851
RSA-SHA224,227,183,186,209,195,0.0016519219999991037
ripemd,202,205,192,188,213,0.0016521449999950164
sha224,185,215,219,217,164,0.001677950000000237
RSA-SHA256,215,197,192,194,202,0.0016883209999996325
sha256,208,212,185,200,195,0.001701773999998295
sha224WithRSAEncryption,222,196,194,192,196,0.0017186089999963769
RSA-SHA512/224,189,212,190,203,206,0.0017400070000007871
sha512-256WithRSAEncryption,180,197,224,208,191,0.0017857690000118965
ripemd160,207,198,202,218,175,0.001793397000000823
RSA-SHA512/256,181,192,220,203,204,0.0018544270000011237
sha512-256,192,189,183,205,231,0.0018906810000034965
RSA-SHA384,201,198,203,189,209,0.0018924530000103913
sha512-224WithRSAEncryption,172,206,215,205,202,0.0019102890000021943
RSA-SM3,204,227,177,192,200,0.0019151350000001911
sha384,212,196,178,218,196,0.0019196609999994508
RSA-SHA3-256,202,191,209,226,172,0.0019286720000027343
sm3WithRSAEncryption,187,198,188,218,209,0.0019357790000017303
ripemd160WithRSA,202,219,201,191,187,0.0019703420000087134
id-rsassa-pkcs1-v1_5-with-sha3-256,169,206,190,221,214,0.0019758960000003756
shake256,202,212,185,203,198,0.0019977500000100006
RSA-SHA3-224,199,203,206,189,203,0.0019992850000030557
sha384WithRSAEncryption,182,203,190,227,198,0.0020188070000012885
sm3,236,188,196,199,181,0.002021847999998954
sha256WithRSAEncryption,190,214,197,207,192,0.002024509000004855
shake128,198,216,192,196,198,0.002026623000001564
sha3-256,201,196,203,199,201,0.002044043000000329
RSA-SHA512,200,188,208,206,198,0.002078132999997706
id-rsassa-pkcs1-v1_5-with-sha3-224,193,176,216,201,214,0.002086712999996962
sha3-224,195,214,202,198,191,0.002087660000003325
RSA-SHA3-384,182,212,189,202,215,0.0020896799999936774
sha512,202,192,204,194,208,0.0021004779999902893
id-rsassa-pkcs1-v1_5-with-sha3-384,191,199,214,200,196,0.0021488850000041565
sha512WithRSAEncryption,214,207,205,173,201,0.00215493299999207
sha3-384,182,173,247,192,206,0.002176444999985506
sha512-224,202,208,215,202,173,0.002212651999996979
RSA-SHA3-512,189,200,212,200,199,0.002283468999991328
md5-sha1,206,181,196,220,197,0.002425522000008641
id-rsassa-pkcs1-v1_5-with-sha3-512,209,181,220,189,201,0.00254265799999348
blake2s256,206,210,213,195,176,0.0026058269999971345
sha3-512,198,208,194,190,210,0.0026995990000050368
blake2b512,197,201,188,199,215,0.002881274000002577
