algorithm,twenty,fourty,sixty,eighty,hundred,time
gb32_hybrid,1988,2026,2007,1964,2015,0.0001326383000030546
custom,1424,1445,1953,3095,2083,0.00014508709999981874
djb2,1952,1972,2000,2028,2048,0.00014538109999984953
gb32_old,2018,1991,1995,2004,1992,0.00017376879999537778
graham,126,10,90,900,8874,0.00017549180000005435
gb32,1958,1990,2031,1969,2052,0.00030435219999717445
gb64,2041,2003,1965,1994,1997,0.00031878010000355064
fnv1a,2008,2006,1987,2004,1995,0.0006527363000022888
md5WithRSAEncryption,1929,2011,2009,2085,1966,0.001429091799996786
ssl3-md5,1929,2011,2009,2085,1966,0.0014465431000113313
RSA-MD5,1929,2011,2009,2085,1966,0.001472290100000191
RSA-SHA1,2069,1995,1937,2016,1983,0.001492190199999368
md5,1929,2011,2009,2085,1966,0.001534283300003881
ripemd160WithRSA,2086,2025,1978,1940,1971,0.001535121200001413
ssl3-sha1,2069,1995,1937,2016,1983,0.001545720599995002
sha1WithRSAEncryption,2069,1995,1937,2016,1983,0.001548435600000812
rmd160,2086,2025,1978,1940,1971,0.0015779818999941198
RSA-SHA1-2,2069,1995,1937,2016,1983,0.001603566500003035
RSA-RIPEMD160,2086,2025,1978,1940,1971,0.0016310839000030684
ripemd,2086,2025,1978,1940,1971,0.0016421071999970082
sha1,2069,1995,1937,2016,1983,0.0017182378999996218
sha224,2017,2065,1981,1912,2025,0.0017265736000043035
blake2s256,2063,1984,1970,1964,2019,0.00177526389998784
sha256,2052,2021,1961,1989,1977,0.00178275890000441
RSA-SHA512/224,2035,2036,2027,1979,1923,0.0018027936000064074
sha512-256,1966,2001,2039,2000,1994,0.0018100606000025436
RSA-SM3,2002,2029,1899,2036,2034,0.0018241286000009495
sha512-256WithRSAEncryption,1966,2001,2039,2000,1994,0.0018746351999978288
RSA-SHA224,2017,2065,1981,1912,2025,0.00189319809998824
sm3,2002,2029,1899,2036,2034,0.0019016284000012093
md5-sha1,2069,1995,1937,2016,1983,0.0019076520000046002
RSA-SHA512/256,1966,2001,2039,2000,1994,0.001912466600002881
shake128,1984,2028,1954,1984,2050,0.0019353564000053666
RSA-SHA384,2035,2029,1946,1969,2021,0.0019406270000070435
sha3-224,2042,2021,2003,1929,2005,0.0019505043999954068
sha384WithRSAEncryption,2035,2029,1946,1969,2021,0.0019506019000040396
id-rsassa-pkcs1-v1_5-with-sha3-224,2042,2021,2003,1929,2005,0.0020283482000122604
RSA-SHA256,2052,2021,1961,1989,1977,0.002034002099997724
RSA-SHA3-224,2042,2021,2003,1929,2005,0.0022354880999960187
id-rsassa-pkcs1-v1_5-with-sha3-256,2021,1967,1955,2090,1967,0.002297859200017592
sha512-224,2035,2036,2027,1979,1923,0.0023519317999986015
RSA-SHA3-384,1963,1994,2022,2034,1987,0.002374439000012353
sha3-256,2021,1967,1955,2090,1967,0.002538788099989142
sha3-512,2021,1979,1930,2042,2028,0.0025460099000101763
id-rsassa-pkcs1-v1_5-with-sha3-384,1963,1994,2022,2034,1987,0.0025561623000055988
sha224WithRSAEncryption,2017,2065,1981,1912,2025,0.003574011500004781
sha512-224WithRSAEncryption,2035,2036,2027,1979,1923,0.003718750600003659
sha512,1993,2010,1993,2000,2004,0.003748316300006627
ripemd160,2086,2025,1978,1940,1971,0.0037726345000059155
sm3WithRSAEncryption,2002,2029,1899,2036,2034,0.003819856799991976
RSA-SHA512,1993,2010,1993,2000,2004,0.0038535558999852585
sha256WithRSAEncryption,2052,2021,1961,1989,1977,0.0038663956999926085
RSA-SHA3-256,2021,1967,1955,2090,1967,0.003996783800001595
sha384,2035,2029,1946,1969,2021,0.004106954200001746
sha512WithRSAEncryption,1993,2010,1993,2000,2004,0.004327129299988155
shake256,2010,2016,1957,2048,1969,0.004465146300002016
blake2b512,2001,1968,1897,2085,2049,0.004516164000000208
sha3-384,1963,1994,2022,2034,1987,0.004655615400003808
RSA-SHA3-512,2021,1979,1930,2042,2028,0.0047728649000126095
id-rsassa-pkcs1-v1_5-with-sha3-512,2021,1979,1930,2042,2028,0.005083176399996409
