algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,0,10,90,900,0,0.0001287850000007893
djb2,152,172,202,222,252,0.00012992099999928542
custom,214,347,207,107,125,0.00013470100001131867
gb32_hybrid,196,215,181,201,207,0.0005374270000006618
gb32,206,182,214,187,211,0.0005873759999963112
fnv1a,200,198,201,194,207,0.0006641710000094463
RSA-SHA1,189,202,214,216,179,0.001441347000003134
ssl3-md5,182,198,198,210,212,0.0014594390000029307
md5WithRSAEncryption,182,198,198,210,212,0.00148873799999501
ssl3-sha1,189,202,214,216,179,0.0014993489999947087
RSA-MD5,182,198,198,210,212,0.001522728000006282
sha1WithRSAEncryption,189,202,214,216,179,0.0015317369999979747
RSA-SHA1-2,189,202,214,216,179,0.0015513789999977235
ripemd,234,196,179,193,198,0.0015777719999987311
md5,182,198,198,210,212,0.0015795889999890278
ripemd160,234,196,179,193,198,0.0015983229999933428
ripemd160WithRSA,234,196,179,193,198,0.0016098890000016582
rmd160,234,196,179,193,198,0.0016217030000002523
RSA-SHA224,202,206,199,188,205,0.0016438679999996567
gb32_old,202,203,192,196,207,0.0016657490000002327
sha1,189,202,214,216,179,0.0016808569999984685
RSA-SHA256,184,210,200,203,203,0.0016865560000110236
sha224,202,206,199,188,205,0.001746496000004754
RSA-RIPEMD160,234,196,179,193,198,0.0017517039999997905
sha512-224WithRSAEncryption,212,206,204,188,190,0.001764167000008456
md5-sha1,189,202,214,216,179,0.0017899889999935113
sha512-224,212,206,204,188,190,0.0017919070000020838
sha224WithRSAEncryption,202,206,199,188,205,0.0017922500000086075
sha256,184,210,200,203,203,0.0017965910000093573
sm3,207,211,182,206,194,0.0018058320000018285
sha256WithRSAEncryption,184,210,200,203,203,0.0018099980000029063
shake128,183,219,188,200,210,0.001814228999999159
sha512-256,175,208,199,206,212,0.0018283389999965039
sm3WithRSAEncryption,207,211,182,206,194,0.0018368099999993318
RSA-SHA3-224,214,195,193,205,193,0.0018968500000019048
sha512-256WithRSAEncryption,175,208,199,206,212,0.0019308519999917736
shake256,198,193,191,200,218,0.001941410000002179
sha3-224,214,195,193,205,193,0.0020295630000114217
sha512WithRSAEncryption,189,192,217,184,218,0.002063705999994909
RSA-SHA512/224,212,206,204,188,190,0.002076466999999866
RSA-SHA384,208,214,193,197,188,0.002130421999997452
id-rsassa-pkcs1-v1_5-with-sha3-256,197,183,201,193,226,0.002131728999999268
RSA-SHA3-256,197,183,201,193,226,0.0021568819999947665
RSA-SHA3-384,204,184,203,194,215,0.0021976910000057613
sha3-256,197,183,201,193,226,0.0022124009999993175
id-rsassa-pkcs1-v1_5-with-sha3-224,214,195,193,205,193,0.0022505359999995564
id-rsassa-pkcs1-v1_5-with-sha3-512,198,187,202,216,197,0.002291725999996288
sha512,189,192,217,184,218,0.0022954099999883512
sha384,208,214,193,197,188,0.002328725999997914
RSA-SHA512/256,175,208,199,206,212,0.002365876000000753
RSA-SHA3-512,198,187,202,216,197,0.002425597999997535
sha3-384,204,184,203,194,215,0.002478276000018013
id-rsassa-pkcs1-v1_5-with-sha3-384,204,184,203,194,215,0.0026394050000048993
RSA-SHA512,189,192,217,184,218,0.002752618999997594
sha3-512,198,187,202,216,197,0.002792415000001256
blake2s256,186,200,189,220,205,0.0030701349999972083
gb64,209,203,201,194,193,0.0036245520000079525
blake2b512,193,201,199,204,203,0.004348520999998527
sha384WithRSAEncryption,208,214,193,197,188,0.02288046299999769
RSA-SM3,207,211,182,206,194,0.02563799999999492
