algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,0,10,0,0,0,0.0009303999999929147
gb32_hybrid,1,2,2,2,3,0.0011388999999780935
gb32_old,2,1,3,2,2,0.0016877999999906023
djb2,0,10,0,0,0,0.0024776000000429122
gb32,1,2,4,2,1,0.003141900000014175
ripemd160WithRSA,1,1,2,3,3,0.0033866000000216446
md5WithRSAEncryption,2,5,1,1,1,0.0034441000000015264
RSA-SHA1-2,3,2,2,2,1,0.0034956999999849357
custom,0,4,5,1,0,0.003514199999995071
sm3WithRSAEncryption,2,1,3,1,3,0.0035896000000093407
RSA-SHA1,3,2,2,2,1,0.003667999999993299
sha224WithRSAEncryption,4,2,0,1,3,0.003677699999980177
gb64,2,1,1,4,2,0.0037144999999782157
sha224,4,2,0,1,3,0.003717499999993379
RSA-SHA256,0,4,2,2,2,0.00374899999999343
sm3,2,1,3,1,3,0.0037890999999945054
md5,2,5,1,1,1,0.0038450000000011643
RSA-SHA512/224,4,1,2,2,1,0.003941100000020015
RSA-SHA3-256,1,2,3,3,1,0.003994899999952395
sha256WithRSAEncryption,0,4,2,2,2,0.004006100000037804
sha256,0,4,2,2,2,0.004053299999941373
sha1,3,2,2,2,1,0.004117399999995541
sha512-224,4,1,2,2,1,0.00412970000002133
md5-sha1,3,2,2,2,1,0.004131699999993544
sha1WithRSAEncryption,3,2,2,2,1,0.004165500000044631
sha512-256,3,1,3,3,0,0.004241900000033638
RSA-SHA512/256,3,1,3,3,0,0.004300699999998869
blake2s256,4,2,1,2,1,0.004305099999965023
ripemd,1,1,2,3,3,0.004313699999988785
shake256,5,2,0,1,2,0.004361600000015642
shake128,1,2,1,3,3,0.004368599999952494
sha384WithRSAEncryption,1,2,5,1,1,0.00437459999998282
id-rsassa-pkcs1-v1_5-with-sha3-224,3,3,0,1,3,0.004382599999962622
RSA-SHA384,1,2,5,1,1,0.0044100000000298675
RSA-SHA3-384,2,2,2,0,4,0.004441499999961707
ssl3-sha1,3,2,2,2,1,0.004462000000012267
sha512-224WithRSAEncryption,4,1,2,2,1,0.004463599999962753
RSA-SHA224,4,2,0,1,3,0.004472099999998136
sha384,1,2,5,1,1,0.004523199999994176
RSA-SHA3-224,3,3,0,1,3,0.004534499999954278
id-rsassa-pkcs1-v1_5-with-sha3-512,1,2,1,3,3,0.004580399999986185
id-rsassa-pkcs1-v1_5-with-sha3-256,1,2,3,3,1,0.004592899999965994
sha512-256WithRSAEncryption,3,1,3,3,0,0.004594400000041787
sha3-256,1,2,3,3,1,0.0046143000000029135
sha512,2,1,2,2,3,0.004624300000023141
id-rsassa-pkcs1-v1_5-with-sha3-384,2,2,2,0,4,0.0047233000000233005
sha3-384,2,2,2,0,4,0.004791100000011284
RSA-SHA512,2,1,2,2,3,0.004894300000046314
sha3-512,1,2,1,3,3,0.004905000000007931
RSA-SHA3-512,1,2,1,3,3,0.005062399999997069
fnv1a,2,2,2,1,3,0.0050643999999692825
RSA-RIPEMD160,1,1,2,3,3,0.00509410000004209
RSA-SM3,2,1,3,1,3,0.005132200000025478
blake2b512,1,0,1,5,3,0.005451999999991131
ripemd160,1,1,2,3,3,0.005564600000025166
sha512WithRSAEncryption,2,1,2,2,3,0.006558499999982814
RSA-MD5,2,5,1,1,1,0.0075679999999920256
sha3-224,3,3,0,1,3,0.007787199999984296
rmd160,1,1,2,3,3,0.009029800000030263
ssl3-md5,2,5,1,1,1,0.009975700000040888
