algorithm,twenty,fourty,sixty,eighty,hundred,time
djb2,60,70,100,120,150,0.00013047199999527949
graham,0,10,90,400,0,0.00013668000000143367
custom,144,155,59,37,105,0.0001535620000158815
gb32_old,100,100,99,97,104,0.00018918999999095832
gb32_hybrid,98,108,90,99,105,0.00021195599999919069
gb64,102,98,101,106,93,0.000418189999992137
gb32,97,93,102,91,117,0.00045460599998750693
fnv1a,107,96,102,92,103,0.0007430999999924097
RSA-SHA1-2,92,100,108,106,94,0.0013995599999807383
RSA-SHA1,92,100,108,106,94,0.0014142579999925147
ssl3-md5,93,98,93,113,103,0.0014905019999932848
md5WithRSAEncryption,93,98,93,113,103,0.0015026419999994687
ssl3-sha1,92,100,108,106,94,0.0015158520000013596
RSA-RIPEMD160,111,98,86,98,107,0.0015289299999840297
RSA-SHA224,96,95,107,103,99,0.0016268239999953948
md5,93,98,93,113,103,0.0016307859999951687
sha512-224,96,107,97,96,104,0.0016612860000050204
sha1,92,100,108,106,94,0.0016681080000171278
rmd160,111,98,86,98,107,0.0016696320000000925
ripemd160WithRSA,111,98,86,98,107,0.0016737219999940862
sha512-256,92,100,110,96,102,0.0016824779999915335
ripemd,111,98,86,98,107,0.0016826259999779723
sha512-256WithRSAEncryption,92,100,110,96,102,0.0016911919999984093
RSA-SHA512/224,96,107,97,96,104,0.001700435999997353
sha512-224WithRSAEncryption,96,107,97,96,104,0.0017099300000027143
blake2s256,96,104,86,113,101,0.001714895999993132
RSA-SHA512/256,92,100,110,96,102,0.001716413999989527
sha224,96,95,107,103,99,0.0017609959999872445
RSA-SM3,104,113,80,99,104,0.001765519999992648
sm3WithRSAEncryption,104,113,80,99,104,0.0017754199999881167
shake128,95,107,89,96,113,0.0018028159999876152
sm3,104,113,80,99,104,0.0018040660000096978
md5-sha1,92,100,108,106,94,0.001810100000003331
sha224WithRSAEncryption,96,95,107,103,99,0.0018158580000008442
RSA-MD5,93,98,93,113,103,0.0018449379999738085
sha1WithRSAEncryption,92,100,108,106,94,0.0018930180000079418
RSA-SHA3-224,121,84,92,109,94,0.0019099280000091311
RSA-SHA3-256,96,94,90,101,119,0.0019134679999770015
RSA-SHA384,95,116,88,94,107,0.001916907999999239
sha256WithRSAEncryption,92,104,95,111,98,0.001927147999988847
id-rsassa-pkcs1-v1_5-with-sha3-256,96,94,90,101,119,0.0019445219999961409
RSA-SHA256,92,104,95,111,98,0.001970920000003389
shake256,90,99,100,101,110,0.002018720000004578
sha512WithRSAEncryption,103,92,100,100,105,0.0020552840000154903
RSA-SHA512,103,92,100,100,105,0.002058384000013575
sha256,92,104,95,111,98,0.0021142159999972135
id-rsassa-pkcs1-v1_5-with-sha3-384,100,86,99,99,116,0.002114846000011312
id-rsassa-pkcs1-v1_5-with-sha3-224,121,84,92,109,94,0.002117515999993884
sha384,95,116,88,94,107,0.002137670000000071
RSA-SHA3-384,100,86,99,99,116,0.0021644659999865323
sha384WithRSAEncryption,95,116,88,94,107,0.0022386600000054387
id-rsassa-pkcs1-v1_5-with-sha3-512,93,97,103,117,90,0.0022618480000028284
ripemd160,111,98,86,98,107,0.0022834339999935763
sha3-256,96,94,90,101,119,0.0023099340000198934
RSA-SHA3-512,93,97,103,117,90,0.002421124000002237
sha3-224,121,84,92,109,94,0.0024380520000049726
sha3-384,100,86,99,99,116,0.002523516000010204
sha3-512,93,97,103,117,90,0.0026292439999915586
blake2b512,98,109,93,108,92,0.0027596819999807847
sha512,103,92,100,100,105,0.039763308000005965
