algorithm,twenty,fourty,sixty,eighty,hundred,time
gb32_hybrid,195,200,211,192,202,0.00037381299999378825
gb32_old,210,199,175,218,198,0.000426248999998279
custom,206,180,218,219,177,0.0005441279999963627
graham,222,199,197,188,194,0.0005505359999920074
djb2,191,178,224,190,217,0.000555223999996997
gb64,215,232,191,180,182,0.0006524860000040462
gb32,200,211,196,201,192,0.0006875910000039766
fnv1a,190,186,185,201,238,0.0008517350000038277
ssl3-md5,199,201,194,211,195,0.0015594839999957912
md5,208,209,206,196,181,0.0015753600000043661
RSA-SHA1-2,202,192,212,203,191,0.0015784639999978935
md5WithRSAEncryption,185,178,216,209,212,0.001586518000000524
RSA-SHA1,211,206,201,172,210,0.0015877690000111215
ssl3-sha1,196,198,217,192,197,0.0015979069999948478
RSA-RIPEMD160,204,184,186,235,191,0.001668490000005022
sha1WithRSAEncryption,196,206,211,183,204,0.0017013449999908517
ripemd,201,192,198,204,205,0.0017281950000024152
RSA-SHA224,197,202,221,178,202,0.0017424080000096184
rmd160,215,160,201,217,207,0.0017445480000105817
ripemd160WithRSA,205,222,186,208,179,0.0017462570000016057
RSA-MD5,192,191,197,203,217,0.0017519160000060766
sha1,209,185,202,186,218,0.0017521390000124484
RSA-SHA256,198,185,193,217,207,0.0017866560000029494
sha224,199,205,205,196,195,0.0017987049999983356
sha224WithRSAEncryption,192,216,193,195,204,0.0018089659999991454
ripemd160,212,183,199,210,196,0.0018209400000037022
sha256,204,203,177,189,227,0.0018235619999918526
RSA-SM3,222,191,199,194,194,0.0018588089999943805
blake2s256,203,213,194,194,196,0.0018727480000029573
RSA-SHA512/224,209,182,210,211,188,0.0018757390000127998
sm3WithRSAEncryption,179,228,221,196,176,0.001887342000006811
sha512-224,187,216,207,204,186,0.0018874429999987115
shake128,206,219,202,188,185,0.0019167150000002947
RSA-SHA512/256,195,225,181,199,200,0.0019194340000140073
sm3,200,193,189,210,208,0.0019249349999940933
sha256WithRSAEncryption,224,206,211,196,163,0.0019576220000008106
RSA-SHA384,186,191,214,201,208,0.0019729760000027456
md5-sha1,206,201,197,187,209,0.001980043999989903
sha3-256,203,207,215,180,195,0.002018985000003795
sha3-224,205,212,206,191,186,0.002024319000000105
sha512-224WithRSAEncryption,197,206,205,176,216,0.0020260090000069793
shake256,208,189,208,204,191,0.002052846999992653
sha512-256WithRSAEncryption,206,209,179,207,199,0.0020862610000012866
sha512-256,212,210,198,195,185,0.002093368000010287
sha384,175,188,236,199,202,0.0020943189999993593
RSA-SHA512,229,195,199,182,195,0.002104932000005192
RSA-SHA3-224,197,201,219,185,198,0.002110603000003721
sha512,177,197,213,209,204,0.0021367070000046623
sha384WithRSAEncryption,205,210,196,205,184,0.0021588269999997466
sha3-384,220,203,198,208,171,0.0022036749999961103
id-rsassa-pkcs1-v1_5-with-sha3-256,194,220,179,209,198,0.0022706049999983405
id-rsassa-pkcs1-v1_5-with-sha3-224,203,181,210,213,193,0.0022793820000169946
RSA-SHA3-256,217,181,205,188,209,0.002333400999998048
RSA-SHA3-384,191,183,203,214,209,0.002338101000008919
RSA-SHA3-512,201,222,193,187,197,0.0023618029999952343
sha512WithRSAEncryption,196,214,206,175,209,0.002362129000002824
sha3-512,197,217,195,201,190,0.002404581999994207
id-rsassa-pkcs1-v1_5-with-sha3-384,198,197,194,207,204,0.0024071949999906793
blake2b512,175,225,185,209,206,0.002779917000013029
id-rsassa-pkcs1-v1_5-with-sha3-512,199,214,179,201,207,0.0125117880000048
