algorithm,twenty,fourty,sixty,eighty,hundred,time
RSA-SHA1-2,97,101,102,102,98,0.0014634559999994962
RSA-SHA1,90,108,100,96,106,0.0014701759999989007
ssl3-sha1,108,95,102,95,100,0.0015432980000095995
RSA-SHA224,117,86,105,96,96,0.0016299259999923378
RSA-MD5,102,90,101,104,103,0.0016635059999816804
ssl3-md5,102,101,97,100,100,0.0017010659999914424
RSA-SHA512/224,94,100,103,92,111,0.0017103280000083031
md5,96,105,98,118,83,0.001713749999994434
md5WithRSAEncryption,90,111,91,115,93,0.0017267199999969308
sm3WithRSAEncryption,107,105,95,92,101,0.0017564240000037899
sha512-224WithRSAEncryption,97,89,110,102,102,0.0017611340000066775
sha512-224,104,93,113,95,95,0.0017694200000114505
RSA-SHA256,111,87,103,94,105,0.0018048299999891243
sha512-256WithRSAEncryption,97,100,98,91,114,0.0018204500000047119
RSA-RIPEMD160,101,109,112,88,90,0.001821947999999793
sm3,91,101,106,101,101,0.0018458279999940715
ripemd160WithRSA,95,105,115,98,87,0.00185815399999683
sha1,95,93,109,92,111,0.0018648219999931825
RSA-SHA384,97,99,99,94,111,0.0018869359999916923
shake128,102,85,92,120,101,0.0019210719999882713
sha224WithRSAEncryption,90,102,102,117,89,0.0019786160000130623
RSA-SHA3-256,100,106,89,108,97,0.002003212000006897
RSA-SHA512/256,109,97,89,99,106,0.0020353359999908207
sha256,103,97,92,100,108,0.002052009999992151
sha224,97,114,96,94,99,0.002060660000011012
RSA-SHA512,111,102,95,95,97,0.0020622940000039306
RSA-SHA3-224,111,101,98,92,98,0.002063416000005418
sha1WithRSAEncryption,90,96,102,127,85,0.0020747480000036377
RSA-SM3,113,92,92,107,96,0.002078812000000653
rmd160,100,103,89,104,104,0.0020836440000084624
sha512WithRSAEncryption,109,97,91,99,104,0.002100426000009975
RSA-SHA3-384,86,106,100,87,121,0.0021040880000027756
blake2s256,116,94,84,115,91,0.0021145560000086334
sha512,90,101,123,101,85,0.0021206139999958395
md5-sha1,117,80,100,110,93,0.0021230899999909523
ripemd,109,86,102,105,98,0.0021712179999885846
sha512-256,96,112,96,102,94,0.0021823779999931505
sha384WithRSAEncryption,96,102,105,106,91,0.0022227679999996326
id-rsassa-pkcs1-v1_5-with-sha3-224,95,86,103,112,104,0.0022474940000029166
sha3-224,100,109,92,98,101,0.002324709999987135
sha384,92,93,111,115,89,0.002457913999993252
RSA-SHA3-512,87,90,103,116,104,0.0025894340000022567
ripemd160,90,114,109,97,90,0.00262023999999019
sha3-384,117,86,103,96,98,0.0026261520000107337
id-rsassa-pkcs1-v1_5-with-sha3-384,97,97,100,94,112,0.0026797459999997955
id-rsassa-pkcs1-v1_5-with-sha3-512,96,107,106,87,104,0.002775024000004123
blake2b512,90,93,104,102,111,0.0032098380000079485
shake256,105,95,89,103,108,0.003553973999999471
id-rsassa-pkcs1-v1_5-with-sha3-256,93,107,102,102,96,0.0038952179999951113
sha256WithRSAEncryption,122,90,94,82,112,0.00919349999998667
sha3-512,101,91,106,103,99,0.0103936020000192
sha3-256,96,97,115,101,91,0.021449130000000878
