algorithm,twenty,fourty,sixty,eighty,hundred,time
gb32_hybrid,102,98,119,102,79,0.00038405799999691225
gb64,96,111,105,93,95,0.0007066720000002534
gb32_old,102,89,91,104,114,0.0007343819999923653
gb32,86,95,112,103,104,0.000754211999996187
graham,104,83,99,106,108,0.0012459499999868057
md5,107,106,92,99,96,0.0015190459999867016
md5WithRSAEncryption,94,123,95,91,97,0.001527778000008766
RSA-SHA1-2,96,98,107,91,108,0.0016193580000062866
ssl3-md5,102,110,110,84,94,0.001619473999998263
RSA-MD5,95,88,94,101,122,0.0016374319999931685
ripemd160,103,111,99,90,97,0.0016508619999895018
RSA-SHA1,99,107,113,96,85,0.001662797999990289
RSA-RIPEMD160,101,94,106,98,101,0.0016651679999868066
ssl3-sha1,102,113,99,98,88,0.00166777999999249
ripemd,118,84,100,102,96,0.001698394000004555
ripemd160WithRSA,98,106,101,97,98,0.0017008399999940593
sha1WithRSAEncryption,92,100,110,95,103,0.001718221999999514
djb2,85,95,117,109,94,0.0017328719999904934
sha1,84,93,89,104,130,0.0017425480000056268
RSA-SHA256,109,99,83,98,111,0.0017983159999967028
RSA-SHA224,95,81,114,103,107,0.0018839919999954872
RSA-SHA512/224,96,95,97,110,102,0.0019262860000108049
rmd160,97,91,99,115,98,0.0019285459999873638
shake128,120,101,87,99,93,0.0019410780000134764
sm3WithRSAEncryption,88,110,100,112,90,0.0019593059999961043
RSA-SHA512/256,103,94,107,103,93,0.001960370000009789
RSA-SM3,99,104,88,113,96,0.001978529999991224
md5-sha1,88,120,107,98,87,0.0020299200000008567
sha224,95,88,98,110,109,0.002050019999990582
shake256,113,103,88,97,99,0.002068226000003051
sha256WithRSAEncryption,93,103,103,98,103,0.0020961800000068253
blake2s256,103,84,100,104,109,0.0021230100000002496
sha384WithRSAEncryption,104,103,101,103,89,0.002139794000006077
sha384,113,92,108,100,87,0.002145957999992788
sha3-224,109,94,109,90,98,0.002179222000003392
RSA-SHA3-224,109,120,83,100,88,0.002233265999994728
sha3-256,108,97,110,91,94,0.0022603640000097586
sha512-256WithRSAEncryption,102,110,71,118,99,0.0022694580000070345
sha512-224WithRSAEncryption,93,105,102,109,91,0.0022766659999952027
sha512,106,119,78,106,91,0.002296732000002521
sha512-256,126,94,80,99,101,0.002309158000003663
RSA-SHA512,109,104,95,113,79,0.0023219879999951446
sha512-224,95,87,109,99,110,0.002329487999988487
RSA-SHA3-256,91,85,106,117,101,0.0023410900000098993
RSA-SHA384,105,92,100,94,109,0.002404552000010881
sha224WithRSAEncryption,100,101,94,103,102,0.0024499639999876308
sha3-384,95,103,89,100,113,0.002468809999993937
sha3-512,85,91,118,104,102,0.002545808000000761
id-rsassa-pkcs1-v1_5-with-sha3-256,98,102,111,107,82,0.0025526980000113325
RSA-SHA3-384,103,116,90,102,89,0.0025830140000025494
id-rsassa-pkcs1-v1_5-with-sha3-224,102,104,111,92,91,0.002673345999999583
RSA-SHA3-512,89,112,101,89,109,0.002705652000018745
id-rsassa-pkcs1-v1_5-with-sha3-384,102,81,106,107,104,0.002705799999998817
id-rsassa-pkcs1-v1_5-with-sha3-512,116,80,98,120,86,0.0027348979999960647
sha512WithRSAEncryption,101,100,88,96,115,0.0028130520000040635
sha256,86,102,112,106,94,0.0028709600000047433
blake2b512,99,101,104,99,97,0.003354348000008031
sm3,96,109,93,105,97,0.0034178319999982705
fnv1a,107,94,96,100,103,0.008947310000006837
custom,90,84,112,104,110,0.01219026399998711
